S,P,O
['history'],['repeat'],"['itself', 'DONTNORMALIZEHATE', 'https', '//t.co/ngG11quhmK']"
"['Damn', 'it']",['wrap'],"['presents', 'you', 'cc', 'santa']"
"['you', 'been']",['hack'],[]
"['week', 'Santa', 'I']",['spread'],"['cheer', 'carol', 'with', 'beautiful…', 'https', '//t.co/vL1BIj4sCZ']"
['I'],['recreate'],"['on', 'tour', 'we', 'in', 'years', 'https', '//t.co/PQz0nCUNV6']"
['I'],['adopt'],"['him', 'ILHSM', 'https', '//t.co/5Sr9wHnIEY']"
"['jessesaintjohn', 'imma', 'of', 'Spotify', 'playlist', 'half', 'of', 'on', 'I']",['love'],"['our', 'taste']"
"['Omg', 'cut']",['agree'],"['https', '//t.co/0yGlkuo3bJ']"
"['holiday', 'season', 'girl', 'jump', 'photos', 'at', 'mall', '☑️']",['wear'],"['activewear', 'at', 'https', '//t.co/0eGYnKF5fk']"
['I'],['come'],"['from', 'cloud', 'Tuesday', 'night', 'Snowflake…', 'https', '//t.co/Bia5wug56I']"
"['I', 'you']",['find'],"['performance', 'than', 'masterpiece', 'https', 'jenniferholliday']"
"['Thanksgiving', 'IStandWithStandingRock', 'text', 'WATER']",['help'],"['Sign', 'petition', 'https', '//t.co/GFhQKfsB0i']"
"['On', 'Thanksgiving', 'day', 'with', 'origins', 'I']",['speak'],"['in', 'support', 'of', 'Standing', 'Rock…', 'https', '//t.co/CKyB7H3LCD']"
"['into', 'my', 'family', 'I', 'about']",['build'],"['bridge', 'thru', 'convo', 'guide', 'from', 'nytimes', 'https', '//t.co/mzBbNw1ZHD']"
['it'],['know'],"['https', '//t.co/AXmAjmNMgc']"
"['Confused', 'Overwhelmed', 'brief', 'you']",['get'],"['gist', 'https', '//t.co/4dwGgeRwMT']"
"['It', 'time', 'words', 'into', 'steps']",['take'],"['my', 'vow', 'https', '//t.co/1DwETGXbed']"
"['you', 'men', 'women']",['protect'],"['Freedom', 'Liberty', 'Equality', 'for', 'https', '//t.co/0LcB7VYDrx']"
"['From', 'Pastor', 'John', 'Pavlovitz', 'about']",['lose'],"['election', 'https', '//t.co/vVxyZvkyYI']"
"['Lets', 'on', 'hearts', 'minds', 'of', 'country', 'change']",['begin'],[]
"['care', 'of', 'your', 'health', 'Talk', 'with', 'counselors/therapists/ur', 'tribe', 'on', 'your', 'friends']",['stop'],[]
"['We', 'men', 'like']",['say'],"['that', 'examples', 'of', 'men', 'out', 'https', '//t.co/daRuHfysSm']"
"['Senate', 'leaders', 'DoYourJob']",['give'],"['Judge', 'Garland', 'hearing', 'he', 'https', '//t.co/sg3Zx4vzIM']"
"['hundreds', 'of', 'thousands', 'of', 'people', 'on', 'Senate', 'leaders']",['give'],"['Judge', 'Garland', 'hearing', 'https', '//t.co/5nEoT9T8KV']"
"['your', 'name', 'if', 'you', 'We']",['need'],"['Supreme', 'Court', 'bench', 'for', 'democracy', 'https', 'DoYourJob']"
['obstructionism'],['hold'],"['our', 'Supreme', 'Court', 'DoYourJob', 'https', '//t.co/Q7rRKyWlZc']"
"['Mother', '’', 'Day', 'thank', 'you', 'Say', 'I']",['love'],"['you', 'Obama', 'https', '//t.co/LE1oaV5dr4']"
"['your', 'name', 'if', 'you', 'Senate', 'leaders']",['stop'],"['our', 'Supreme', 'Court', 'https', 'DoYourJob']"
"['months—more', 'than', 'job', 'growth']",['keep'],"['up', 'progress', 'https', '//t.co/igXXN83jCy']"
"['LIVE', 'President', 'Obama', 'about', 'economy', 'steps']",['strengthen'],"['transparency', 'https', '//t.co/Qem7LCIZVz']"
['economy'],['add'],"['jobs', 'in', 'April—a', 'months', 'of', 'job', 'growth']"
"['President', 'Obama', 'clemency', 'men', 'women']",['earn'],"['chance', 'https', 'FixTheSystem']"
"['Say', 'Senate', 'leaders', 'hiding', 'behind', 'excuses']",['give'],"['Judge', 'Garland', 'hearing', 'https', 'DoYourJob']"
"['President', 'Obama', 'workers', 'businesses', 'on', 'playing', 'field', 'one']",['beat'],"['us', 'https', '//t.co/RBHapsYhqp']"
"['President', 'Obama']",['speak'],"['at', 'Northwestern', 'High', 'School', 'in', 'Flint', 'Michigan', 'https', '//t.co/hg4ZAhZZId']"
"['Retweet', 'if', 'you']",['agree'],"['DoYourJob', 'https', '//t.co/WjTM07LRL4']"
"['LIVE', 'President', 'Obama']",['honor'],"['National', 'Teacher', 'of', 'Year', 'https', '//t.co/mWxAZq5RKm']"
"['climate', 'change', 'policy']",['go'],['policy']
"['workers', 'trade', 'agreement', 'that']",['work'],"['for', 'them', 'out', 'President', 'Obama', 'op-ed', 'on', 'TPP', 'https', '//t.co/exMvIGmk2H']"
"['United', 'States']",['hit'],"['installations—enough', 'power', 'homes', 'MillionSolarStrong']"
"['Say', 'you', 'of', 'majority', 'of', 'Americans', 'Senate', 'leaders']",['give'],"['Judge', 'Garland', 'hearing', 'https', 'DoYourJob']"
"['boards', 'across', 'country']",['say'],"['about', 'SCOTUS', 'vacancy', 'https', '//t.co/xFqioAHA3l']"
"['It', 'for', 'obstructionists', 'in', 'Senate', 'games', 'with', 'Supreme', 'Court', 'Say', 'you']",['agree'],"['https', '//t.co/ORb8MTAeAt']"
[],['miss'],"['https', '//t.co/T4YNBb30zJ']"
"['LIVE', 'President', 'Obama']",['speak'],"['at', 'WHCD', 'https', '//t.co/U8C7OEGjEC']"
"['Tune', 'in', 'at', 'p.m']",['watch'],"['Comedian-in-Chief', 'President', 'Obama', 'at', 'WHCD', 'https', '//t.co/JePbRDQkgG']"
"['Poll', 'after', 'poll', 'majority', 'of', 'Americans']",['think'],"['Senate', 'Republicans', 'their', 'job', 'Obama', 'https', '//t.co/L7wi8kiFj4']"
"['Senate', 'leaders', 'their', 'jobs']",['fill'],"['SCOTUS', 'vacancy', 'DoYourJob', 'https', '//t.co/ZGcyGEv2CS']"
"['Clean', 'air']",['make'],"['for', 'communities', 'ActOnClimate', 'https', '//t.co/uuPdv41v0u']"
"['Hundreds', 'of', 'thousands', 'of', 'Americans', 'on', 'Senate', 'leaders']",['fill'],"['SCOTUS', 'them', 'https', '//t.co/9LwydN9bmk']"
"['It', 'been', 'than', 'days', 'since', 'Judge', 'Garland']",['nominate'],"['Senate', 'leaders', 'DoYourJob', 'https', '//t.co/RUBRebSJhZ']"
"['change', 'deniers', 'progress', 'we']",['make'],"['toward', 'safer', 'future', 'them', 'https', '//t.co/GV1Stqvdoq']"
"['climate', 'change']",['save'],"['Americans', 'money', 'at', 'gas', 'pump', 'ActOnClimate', 'https', '//t.co/ePl93jLYTU']"
"['your', 'name', 'if', 'you']",['support'],"['efforts', 'change', 'https', '//t.co/IQJzH7sb2C']"
"['Watch', 'Professor', 'Obama']",['take'],"['obstructionists', 'in', 'Senate', 'back', 'school', 'with', 'SCOTUS', 'DoYourJob', 'https', '//t.co/GaN9kDsQIp']"
"['Senate', 'its', 'duty', 'Judge', 'Garland', 'hearing', 'your', 'name', 'if', 'you']",['agree'],"['https', '//t.co/JmvJa0rHns']"
"['Constitution', 'function', 'it']",['happen'],"['like', 'before', '—', 'VP', 'https', '//t.co/y6FXMAEzzd']"
"['fight', 'climate', 'change', 'step', 'on', 'Friday', 'with', 'hundreds', 'of', 'countries']",['sign'],"['ParisAgreement', 'https', '//t.co/gk7BWRRBqA']"
"['ICYMI', 'U.S.', 'than', 'nations']",['sign'],"['ParisAgreement—the', 'climate', 'deal', 'https', '//t.co/Jlg4q4piDu']"
"['We', 'part', 'in']",['stop'],"['gun', 'violence', 'your', 'part—', 'WearOrange', 'on', 'June', 'https', '//t.co/IUguOJg2Zk']"
['We'],['see'],"['effects', 'of', 'climate', 'change', 'Denial', 'ActOnClimate', 'https', '//t.co/k3sphu7KgC']"
"['your', 'support', 'for', 'moves']",['combat'],"['climate', 'your', 'name', 'https', 'ActOnClimate']"
"['Carbon', 'pollution', 'contributor', 'change—and', 'President', 'Obama']",['take'],"['it', 'head', 'on', 'https', '//t.co/lZlIAyD9UV']"
"['We', 'justice', 'policies', 'laws', 'that']",['need'],"['reformed', 'Obama', 'https', '//t.co/ovSB7lu9Kl']"
"['In', 'address', 'President', 'Obama', 'talks', 'about', 'his', 'efforts']",['improve'],"['our', 'justice', 'system', 'https', 'FixTheSystem']"
"['We', 'climate', 'change—but', 'it', 'of', 'us']",['work'],"['ActOnClimate', 'https', '//t.co/LEvJFzebLA']"
"['Say', 'you', 'for', 'action']",['fight'],"['climate', 'change', 'https', 'ActOnClimate']"
"['President', 'Obama']",['invest'],"['in', 'future', 'ActOnClimate', 'https', '//t.co/MbDFRg0QcP']"
"['We', 'change', 'deniers', 'progress—say', 'you']",['stand'],"['for', 'action', 'https', 'ActOnClimate']"
[],['invest'],"['in', 'energy', 'like', 'power', 'in', 'fight', 'ActOnClimate', 'https', '//t.co/wvIKlRDDOD']"
"['year', 'wind', 'energy']",['generate'],"['electricity', 'power', 'homes', 'https', 'ActOnClimate']"
"['your', 'name', 'action']",['combat'],"['climate', 'change', 'https', 'ActOnClimate']"
"['Climate', 'change', 'it']",['devastate'],"['communities', 'across', 'country', 'We', 'ActOnClimate', 'https', '//t.co/RD8EC74QXZ']"
"['wind', 'energy', 'industry']",['keep'],"['on', 'its', 'year', 'https', 'ActOnClimate']"
['month'],['continue'],"['streak', 'of', 'temperatures', 'https', 'ActOnClimate']"
"['Editorial', 'boards', 'their', 'voices', 'heard', 'on', 'SCOTUS', 'nomination', 'process', 'they']",['say'],"['https', '//t.co/1teSLORDsG']"
"['your', 'name', 'if', 'you', 'Senate']",['give'],"['Judge', 'Garland', 'consideration', 'https', 'https', '//t.co/JjJMIwiEbF']"
"['editorial', 'boards', 'about', 'Senate', 'leaders', 'refusal']",['give'],"['Judge', 'Garland', 'hearing', 'https', '//t.co/FETn702lVz']"
"['Climate', 'change']",['mean'],"['wildfires', 'threat', 'in', 'parts', 'of', 'country', 'https', 'ActOnClimate']"
"['LIVE', 'President', 'Obama']",['deliver'],"['remarks', 'at', 'WHScienceFair', 'https', '//t.co/b01pncM9iY']"
"['Tune', 'in', 'at', 'p.m']",['watch'],"['President', 'Obama', 'speak', 'at', 'WHScienceFair', 'https', '//t.co/HRBcwVcXv4']"
"['Judge', 'Garland']",['qualify'],"['for', 'Supreme', 'Court—he', 'hearing', 'https', 'DoYourJob', 'https', '//t.co/6D9Adjikoz']"
